Problem,Variable Ordering,Pre-processing,Measure,Data
puget2,srf,SACBounds,Backtracked left branches,101
puget2,srf,SACBounds,Average left branch length,17.594059
puget2,srf,SACBounds,Longest backtracked left branch,173.000000
puget2,srf,SACBounds,Longest chain of successful assignments,29
puget2,srf,SACBounds,First ten assignments backtracked,1
puget2,srf,SSAC,Assignments,314
puget2,srf,SSAC,Solutions,1
puget2,srf,SSAC,Dead Ends,266
puget2,srf,SSAC,Backtracks,530
puget2,srf,SSAC,Backtracked left branches,59
puget2,srf,SSAC,Average left branch length,19.796610
puget2,srf,SSAC,Longest backtracked left branch,173.000000
puget2,srf,SSAC,Longest chain of successful assignments,29
puget2,srf,SSAC,First ten assignments backtracked,1
puget2,srf,SSACBounds,Assignments,314
puget2,srf,SSACBounds,Solutions,1
puget2,srf,SSACBounds,Dead Ends,266
puget2,srf,SSACBounds,Backtracks,530
puget2,srf,SSACBounds,Backtracked left branches,59
puget2,srf,SSACBounds,Average left branch length,19.796610
puget2,srf,SSACBounds,Longest backtracked left branch,173.000000
puget2,srf,SSACBounds,Longest chain of successful assignments,29
puget2,srf,SSACBounds,First ten assignments backtracked,1
puget2,static,GAC,Assignments,475
puget2,static,GAC,Solutions,1
puget2,static,GAC,Dead Ends,427
puget2,static,GAC,Backtracks,851
puget2,static,GAC,Backtracked left branches,101
puget2,static,GAC,Average left branch length,17.594059
puget2,static,GAC,Longest backtracked left branch,173.000000
puget2,static,GAC,Longest chain of successful assignments,29
puget2,static,GAC,First ten assignments backtracked,1
puget2,static,None,Assignments,475
puget2,static,None,Solutions,1
puget2,static,None,Dead Ends,427
puget2,static,None,Backtracks,851
puget2,static,None,Backtracked left branches,101
puget2,static,None,Average left branch length,17.594059
puget2,static,None,Longest backtracked left branch,173.000000
puget2,static,None,Longest chain of successful assignments,29
puget2,static,None,First ten assignments backtracked,1
puget2,static,SAC,Assignments,475
puget2,static,SAC,Solutions,1
puget2,static,SAC,Dead Ends,427
puget2,static,SAC,Backtracks,851
puget2,static,SAC,Backtracked left branches,101
