:TYPE,:START_ID,action,:END_ID
EQUALS,102,AnyVarRef:Bool:Bool:33 = 0,Dead_End_87
NOT_EQUALS,102,AnyVarRef:Bool:Bool:33 != 0,Dead_End_88
BACKTRACK,102,,101
BACKTRACK,Dead_End_87,,102
BACKTRACK,Dead_End_88,,102
BACKTRACK,Dead_End_89,,101
BACKTRACK,Dead_End_90,,100
EQUALS,103,AnyVarRef:Bool:Bool:31 = 0,104
NOT_EQUALS,103,AnyVarRef:Bool:Bool:31 != 0,Dead_End_95
BACKTRACK,103,,93
EQUALS,104,AnyVarRef:Bool:Bool:32 = 0,105
NOT_EQUALS,104,AnyVarRef:Bool:Bool:32 != 0,Dead_End_94
BACKTRACK,104,,103
EQUALS,105,AnyVarRef:Bool:Bool:33 = 0,106
NOT_EQUALS,105,AnyVarRef:Bool:Bool:33 != 0,Dead_End_93
BACKTRACK,105,,104
EQUALS,106,AnyVarRef:Bool:Bool:34 = 0,Dead_End_91
NOT_EQUALS,106,AnyVarRef:Bool:Bool:34 != 0,Dead_End_92
BACKTRACK,106,,105
BACKTRACK,Dead_End_91,,106
BACKTRACK,Dead_End_92,,106
BACKTRACK,Dead_End_93,,105
BACKTRACK,Dead_End_94,,104
BACKTRACK,Dead_End_95,,103
BACKTRACK,Dead_End_96,,92
BACKTRACK,Dead_End_97,,66
EQUALS,107,AnyVarRef:Bool:Bool:15 = 0,108
NOT_EQUALS,107,AnyVarRef:Bool:Bool:15 != 0,Dead_End_161
BACKTRACK,107,,10
EQUALS,108,AnyVarRef:Bool:Bool:16 = 0,109
NOT_EQUALS,108,AnyVarRef:Bool:Bool:16 != 0,149
BACKTRACK,108,,107
EQUALS,109,AnyVarRef:Bool:Bool:17 = 0,110
NOT_EQUALS,109,AnyVarRef:Bool:Bool:17 != 0,134
BACKTRACK,109,,108
EQUALS,110,AnyVarRef:Bool:Bool:18 = 0,111
NOT_EQUALS,110,AnyVarRef:Bool:Bool:18 != 0,124
BACKTRACK,110,,109
EQUALS,111,AnyVarRef:Bool:Bool:19 = 0,112
NOT_EQUALS,111,AnyVarRef:Bool:Bool:19 != 0,118
BACKTRACK,111,,110
EQUALS,112,AnyVarRef:Bool:Bool:20 = 0,113
NOT_EQUALS,112,AnyVarRef:Bool:Bool:20 != 0,115
BACKTRACK,112,,111
EQUALS,113,AnyVarRef:Bool:Bool:21 = 0,Dead_End_98
NOT_EQUALS,113,AnyVarRef:Bool:Bool:21 != 0,114
BACKTRACK,113,,112
BACKTRACK,Dead_End_98,,113
EQUALS,114,AnyVarRef:Bool:Bool:23 = 0,Dead_End_99
NOT_EQUALS,114,AnyVarRef:Bool:Bool:23 != 0,Dead_End_100
BACKTRACK,114,,113
BACKTRACK,Dead_End_99,,114
BACKTRACK,Dead_End_100,,114
EQUALS,115,AnyVarRef:Bool:Bool:23 = 0,116
NOT_EQUALS,115,AnyVarRef:Bool:Bool:23 != 0,Dead_End_104
BACKTRACK,115,,112
EQUALS,116,AnyVarRef:Bool:Bool:24 = 0,Dead_End_101
NOT_EQUALS,116,AnyVarRef:Bool:Bool:24 != 0,117
BACKTRACK,116,,115
BACKTRACK,Dead_End_101,,116
EQUALS,117,AnyVarRef:Bool:Bool:31 = 0,Dead_End_102
NOT_EQUALS,117,AnyVarRef:Bool:Bool:31 != 0,Dead_End_103
BACKTRACK,117,,116
BACKTRACK,Dead_End_102,,117
BACKTRACK,Dead_End_103,,117
