:TYPE,:START_ID,action,:END_ID
BACKTRACK,Dead_End_116,,101
EQUALS,128,AnyVarRef:Bool:Bool:44 = 0,129
NOT_EQUALS,128,AnyVarRef:Bool:Bool:44 != 0,Dead_End_130
BACKTRACK,128,,84
EQUALS,129,AnyVarRef:Bool:Bool:45 = 0,130
NOT_EQUALS,129,AnyVarRef:Bool:Bool:45 != 0,Dead_End_129
BACKTRACK,129,,128
EQUALS,130,AnyVarRef:Bool:Bool:46 = 0,131
NOT_EQUALS,130,AnyVarRef:Bool:Bool:46 != 0,136
BACKTRACK,130,,129
EQUALS,131,AnyVarRef:Bool:Bool:47 = 0,132
NOT_EQUALS,131,AnyVarRef:Bool:Bool:47 != 0,Dead_End_122
BACKTRACK,131,,130
EQUALS,132,AnyVarRef:Bool:Bool:48 = 0,133
NOT_EQUALS,132,AnyVarRef:Bool:Bool:48 != 0,Dead_End_121
BACKTRACK,132,,131
EQUALS,133,AnyVarRef:Bool:Bool:49 = 0,Dead_End_117
NOT_EQUALS,133,AnyVarRef:Bool:Bool:49 != 0,134
BACKTRACK,133,,132
BACKTRACK,Dead_End_117,,133
EQUALS,134,AnyVarRef:Bool:Bool:50 = 0,135
NOT_EQUALS,134,AnyVarRef:Bool:Bool:50 != 0,Dead_End_120
BACKTRACK,134,,133
EQUALS,135,AnyVarRef:Bool:Bool:51 = 0,Dead_End_118
NOT_EQUALS,135,AnyVarRef:Bool:Bool:51 != 0,Dead_End_119
BACKTRACK,135,,134
BACKTRACK,Dead_End_118,,135
BACKTRACK,Dead_End_119,,135
BACKTRACK,Dead_End_120,,134
BACKTRACK,Dead_End_121,,132
BACKTRACK,Dead_End_122,,131
EQUALS,136,AnyVarRef:Bool:Bool:47 = 0,137
NOT_EQUALS,136,AnyVarRef:Bool:Bool:47 != 0,Dead_End_128
BACKTRACK,136,,130
EQUALS,137,AnyVarRef:Bool:Bool:48 = 0,138
NOT_EQUALS,137,AnyVarRef:Bool:Bool:48 != 0,Dead_End_127
BACKTRACK,137,,136
EQUALS,138,AnyVarRef:Bool:Bool:49 = 0,139
NOT_EQUALS,138,AnyVarRef:Bool:Bool:49 != 0,Dead_End_126
BACKTRACK,138,,137
EQUALS,139,AnyVarRef:Bool:Bool:53 = 0,140
NOT_EQUALS,139,AnyVarRef:Bool:Bool:53 != 0,Dead_End_125
BACKTRACK,139,,138
